uf,m,pop,l,u,e,g,mi,mm,f,dl,du,mac,crit,idh,caps,caps_tipo,caps_gestor,srt,leitos_hg,psiq,lq,cobertura_raps,psiq_hg,psiq_hg_sus,hosp_psiq,sm_total,def_psiq,psiq_cad,psiq_hab,psiq_status,alerta_fiscal,porte,pop_sus,esf_gap,regiao,score_mun,risco_mun,vulnerab,n_flags,recup_r,prioridade,siops_desp,esf_equipes,ibge_cod,lat,lon,pib_percapita,agua_rede,esgoto_rede,bolsa_familia_pct,agentes_acs,internacoes_av,cobertura_vacinal,ine,gini,nascimentos,dengue_inc,alfabetizacao,notificacoes,coord_saude,score_v2,score_v2_ab,score_v2_iv,score_v2_raps,score_v2_se,score_v2_san,score_v2_fin,risco_v2,leitos_sus,leitos_sus_1k,esf_1k,medicos_1k,enfermeiros_1k,acs_1k,mort_cv_100k,mort_dm_100k,mort_has_100k,prev_dm_pct,prev_has_pct,intern_dengue_100k,intern_pneum_100k,intern_sepse_100k,let_dengue,let_pneum,let_sepse,sih_score,score_v3_d1,score_v3_d2,score_v3_d3,score_v3_d4,cob_sarampo,cob_gripe,cob_covid,pen_vacinal,pen_vacinal_nivel,pen_vacinal_desc,d1_base,psiq_1k,lq_1k,leitos_total,ibge_7,uti_sus,vacuo_hab,esf_pct,versao_banco,score_v3,rank_v3,rank_regiao_v3,risco_v3
MG,João Pinheiro,47842,2.09,0.285,72.9,6.1,13.3,31.7,78.0,-15.0,0.0,Sudeste,ADEQUADO,0.725,1.0,CAPS,Municipal,0.0,0,0,0.0,SIM,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,MÉDIO,35881,7.1,Sudeste,60.3,MÉDIO,4.7,0,0.9,5,1083.7,8,3136306.0,-17.605109,-45.933868,68145,99.9,85.9,8.3,54,231,75.8,0.466,0.496,666,150,90.3,184,Secretaria Municipal de Saúde,60.7,51.4,69.4,16.4,65.1,91.6,80.3,MÉDIO,68,1.42,1.67,3.96,3.85,1.13,248.9,46.9,29.3,11.0,29.0,61.4,286.6,42.4,0.057,0.04,0.2837,5.11,76.17,58.57,29.15,42.4,102.1,80.2,88.0,True,1,Geral:76%,76.17,,,,3136306.0,0.0,0,0.0,v40+v37+v3,52.6,1579.0,560.0,ALTO
MG,Juatuba,22842,1.9,0.0,74.1,8.0,13.5,46.2,34.0,-11.0,-3.0,Sudeste,MODERADO,0.734,1.0,CAPS I,Municipal,0.0,0,0,0.0,SIM,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,MÉDIO,17131,5.9,Sudeste,47.8,ALTO,5.2,0,1.0,4,1090.3,4,3136652.0,-19.956782,-44.353752,68561,99.9,86.4,8.2,26,230,76.0,0.463,0.495,416,150,92.2,88,Secretaria Municipal de Saúde,60.5,54.0,58.3,34.3,68.7,91.9,60.6,MÉDIO,33,1.44,1.75,3.96,3.85,1.14,251.0,47.4,29.6,11.1,29.1,63.1,290.0,43.8,0.0563,0.0399,0.2821,5.22,88.07,59.95,28.14,41.68,75.3,62.0,72.8,True,3,Sarampo:75% | Geral:76%,78.07,,,,3136652.0,0.0,0,0.0,v40+v37+v3,56.11,2567.0,946.0,ALTO
MG,Juiz de Fora,567730,4.51,0.67,0.752,6.8,12.1,38.2,1312.0,0.0,0.0,Sudeste,BAIXO,0.778,4.0,"CAPS II,CAPSad,CAPSi,CAPS III",Municipal,2.0,80,80,1.14,SIM,80,80,HPP/UFJF,80,0.0,80.0,80.0,HABILITADO,False,METRÓPOLE,425797,79.2,Sudeste,54.9,ALTO,5.2,1,23.6,4,2259.0,1,3136702.0,-21.745086,-43.464764,77317,99.9,95.0,3.7,426,155,80.8,0.344,0.568,5508,195,96.9,2782,Secretaria Municipal de Saúde,56.4,30.0,75.2,10.4,72.6,90.7,77.7,MÉDIO,2373,4.18,0.02,8.64,8.4,0.75,261.2,49.9,31.0,11.5,30.0,52.6,273.0,47.7,0.0528,0.0391,0.2744,5.02,100.0,53.53,42.45,40.81,52.1,54.5,66.5,True,3,Sarampo:52%,87.53,,,,3136702.0,0.0,0,0.0,v40+v37+v3,62.24,4569.0,1545.0,BAIXO
MG,Juramento,7842,1.61,0.0,77.0,5.8,12.9,29.7,10.0,-5.0,-1.0,Sudeste,MODERADO,0.728,0.0,Nenhum,,0.0,0,0,0.0,NÃO,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,PEQUENO,5881,3.0,Sudeste,59.5,MÉDIO,4.5,1,0.1,4,768.1,1,3136801.0,-16.839088,-43.564654,65032,94.4,55.6,15.9,13,337,71.8,0.592,0.456,31,112,85.5,23,Secretaria Municipal de Saúde,52.9,58.4,59.7,0.0,68.4,69.3,57.1,ALTO,7,0.89,1.28,2.52,2.62,1.66,249.6,47.1,29.4,11.0,29.0,48.5,301.0,25.2,0.0568,0.04,0.2832,4.32,76.63,38.93,60.41,47.81,89.5,63.6,74.1,True,2,Sarampo:90% | Geral:72%,76.63,,,,3136801.0,0.0,0,0.0,v40+v37+v3,58.02,3252.0,1251.0,MODERADO
MG,Juruaia,13842,1.87,0.0,81.5,5.6,13.1,40.2,20.0,-7.0,-2.0,Sudeste,MODERADO,0.752,0.0,Nenhum,,0.0,0,0,0.0,NÃO,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,PEQUENO,10381,0.0,Sudeste,67.0,MÉDIO,3.8,1,0.1,4,780.6,2,3136900.0,-21.220871,-46.5262,66088,95.9,56.5,15.6,23,332,72.1,0.583,0.452,146,112,94.2,41,Secretaria Municipal de Saúde,56.1,66.8,51.9,0.0,81.8,71.6,60.3,MÉDIO,12,0.87,1.44,2.52,2.62,1.66,255.1,48.4,30.2,11.2,29.5,50.5,299.2,26.6,0.0548,0.0396,0.2789,4.4,91.69,38.09,59.61,43.13,70.9,79.3,87.2,True,3,Sarampo:71% | Geral:72%,81.69,,,,3136900.0,0.0,0,0.0,v40+v37+v3,61.38,4353.0,1503.0,BAIXO
MG,Juvenília,7842,1.46,0.0,79.7,7.8,13.9,47.7,9.0,-6.0,-1.0,Sudeste,MODERADO,0.758,0.0,Nenhum,,0.0,0,0,0.0,NÃO,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,PEQUENO,5881,0.3,Sudeste,47.4,ALTO,4.9,2,0.3,3,783.7,1,3136959.0,-14.384882,-44.083922,66352,96.3,56.7,15.5,13,331,72.2,0.58,0.451,66,112,79.5,23,Secretaria Municipal de Saúde,49.6,63.9,43.4,0.0,69.6,72.1,37.1,ALTO,7,0.89,1.28,2.52,2.62,1.66,256.5,48.8,30.4,11.3,29.6,53.0,313.3,28.1,0.0544,0.0395,0.2779,4.62,83.22,41.52,60.05,47.71,120.0,62.6,73.2,True,1,Geral:72%,83.22,,,,3136959.0,0.0,0,0.0,v40+v37+v3,60.52,4144.0,1447.0,BAIXO
MG,Ladainha,14842,1.52,0.0,77.6,6.8,10.1,37.7,18.0,-11.0,-2.0,Sudeste,MODERADO,0.731,1.0,CAPS,Municipal,0.0,0,0,0.0,SIM,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,PEQUENO,11131,2.4,Sudeste,60.8,MÉDIO,3.4,0,0.3,5,769.6,3,3137007.0,-17.626683,-41.8229,65164,94.5,55.7,15.8,24,337,71.8,0.591,0.455,150,112,73.6,44,Secretaria Municipal de Saúde,59.5,58.7,65.3,52.8,58.2,69.5,46.6,MÉDIO,13,0.88,2.02,2.52,2.62,1.62,250.3,47.2,29.5,11.1,29.1,48.6,299.2,25.3,0.0565,0.0399,0.2827,4.31,87.62,38.49,43.2,42.95,70.1,79.1,87.0,True,3,Sarampo:70% | Geral:72%,77.62,,,,3137007.0,0.0,0,0.0,v40+v37+v3,55.31,2336.0,855.0,ALTO
MG,Lagamar,10842,1.7,0.0,77.3,7.9,13.7,44.2,14.0,-7.0,-1.0,Sudeste,MODERADO,0.722,1.0,CAPS I,Municipal,0.0,0,0,0.0,SIM,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,PEQUENO,8131,2.7,Sudeste,48.1,ALTO,5.0,0,0.4,4,765.0,2,3137106.0,-18.103484,-46.735247,64768,94.0,55.4,15.9,18,339,71.7,0.594,0.457,50,112,89.9,32,Secretaria Municipal de Saúde,59.1,58.7,45.7,72.3,71.1,68.7,34.5,MÉDIO,10,0.92,1.84,2.52,2.62,1.66,248.2,46.7,29.2,11.0,28.9,47.9,302.7,24.8,0.0572,0.0401,0.2842,4.31,75.57,39.23,43.27,43.95,101.8,73.5,82.3,True,1,Geral:72%,75.57,,,,3137106.0,0.0,0,0.0,v40+v37+v3,52.05,1417.0,464.0,ALTO
MG,Lagoa Dourada,13842,1.52,0.0,80.3,8.1,10.1,36.7,16.0,-11.0,-2.0,Sudeste,MODERADO,0.746,0.0,Nenhum,,0.0,0,0,0.0,NÃO,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,PEQUENO,10381,0.0,Sudeste,55.2,MÉDIO,3.9,1,0.5,4,777.4,2,3137403.0,-20.892134,-44.0746,65824,95.5,56.3,15.7,23,333,72.0,0.585,0.453,147,112,94.6,41,Secretaria Municipal de Saúde,55.5,64.5,66.5,0.0,80.8,71.0,33.4,MÉDIO,12,0.87,1.44,2.52,2.62,1.66,253.8,48.1,30.0,11.2,29.4,49.8,298.4,26.2,0.0553,0.0397,0.28,4.37,80.74,38.09,59.7,44.44,106.0,70.4,79.8,True,1,Geral:72%,80.74,,,,3137403.0,0.0,0,0.0,v40+v37+v3,58.32,3373.0,1292.0,MODERADO
MG,Lagoa Formosa,18842,1.75,0.0,82.4,7.8,10.7,46.7,26.0,-11.0,-2.0,Sudeste,MODERADO,0.704,1.0,CAPS,Municipal,0.0,0,0,0.0,SIM,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,PEQUENO,14131,0.0,Sudeste,58.3,MÉDIO,3.7,0,0.7,4,755.6,3,3137502.0,-18.769436,-46.336682,63976,92.8,54.7,16.1,31,343,71.4,0.602,0.459,215,112,90.0,56,Secretaria Municipal de Saúde,57.6,66.5,55.7,41.6,67.4,67.0,34.8,MÉDIO,17,0.9,1.59,2.52,2.62,1.65,244.0,45.7,28.6,10.8,28.6,46.4,301.0,23.7,0.0587,0.0404,0.2874,4.22,71.61,39.34,45.27,46.66,111.6,68.3,78.1,True,1,Geral:71%,71.61,,,,3137502.0,0.0,0,0.0,v40+v37+v3,51.9,1380.0,434.0,ALTO
MG,Lagoa Grande,8842,1.28,0.0,80.9,5.3,10.3,31.2,9.0,-8.0,-1.0,Sudeste,MODERADO,0.713,1.0,CAPS,Municipal,0.0,0,0,0.0,SIM,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,PEQUENO,6631,0.0,Sudeste,68.3,MÉDIO,2.9,1,0.0,4,760.3,2,3137536.0,-17.766354,-46.502165,64372,93.4,55.1,16.0,15,341,71.6,0.598,0.458,98,112,89.9,26,Secretaria Municipal de Saúde,70.1,65.2,68.7,88.7,69.2,67.9,61.8,MÉDIO,8,0.9,2.26,2.52,2.62,1.7,246.1,46.2,28.9,10.9,28.8,48.1,307.2,24.8,0.058,0.0403,0.2858,4.35,73.67,40.82,41.09,38.82,120.0,71.0,80.3,True,1,Geral:72%,73.67,,,,3137536.0,0.0,0,0.0,v40+v37+v3,50.46,1092.0,253.0,CRÍTICO
MG,Lagoa Santa,60842,2.07,0.31,70.8,7.3,13.5,43.7,98.0,-20.0,0.0,Sudeste,ADEQUADO,0.725,1.0,CAPS I,Municipal,0.0,0,0,0.0,SIM,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,MÉDIO,45631,9.2,Sudeste,50.3,ALTO,5.4,0,2.3,4,1083.7,9,3137601.0,-19.627296,-43.887198,68145,99.9,85.9,8.3,68,231,75.8,0.466,0.496,891,150,95.7,234,Secretaria Municipal de Saúde,56.8,47.6,60.0,12.9,70.0,91.6,67.5,MÉDIO,87,1.43,1.48,3.96,3.85,1.12,248.9,46.9,29.3,11.0,29.0,61.2,285.8,42.3,0.057,0.04,0.2837,5.1,76.17,58.35,32.54,45.36,90.2,76.4,84.8,True,1,Sarampo:90% | Geral:76%,76.17,,,,3137601.0,0.0,0,0.0,v40+v37+v3,54.01,1969.0,739.0,ALTO
MG,Lagoa da Prata,48842,1.89,0.285,73.8,6.5,13.3,39.7,72.0,-23.0,0.0,Sudeste,ADEQUADO,0.707,1.0,CAPS,Municipal,0.0,0,0,0.0,SIM,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,MÉDIO,36631,6.2,Sudeste,55.0,MÉDIO,4.9,0,1.1,4,1070.5,8,3137205.0,-20.009486,-45.494332,67313,99.9,84.9,8.4,55,234,75.6,0.472,0.499,610,150,94.1,188,Secretaria Municipal de Saúde,59.0,52.4,63.3,16.1,64.5,91.0,74.9,MÉDIO,70,1.43,1.64,3.96,3.85,1.13,244.7,45.9,28.7,10.9,28.6,59.4,285.8,40.5,0.0584,0.0404,0.2869,4.99,82.54,57.89,29.33,45.58,74.2,68.1,77.8,True,3,Sarampo:74% | Geral:76%,72.54,,,,3137205.0,0.0,0,0.0,v40+v37+v3,54.87,2218.0,808.0,ALTO
MG,Lagoa dos Patos,5842,1.57,0.0,79.1,5.9,12.1,34.2,7.0,-4.0,-1.0,Sudeste,MODERADO,0.722,0.0,Nenhum,,0.0,0,0,0.0,NÃO,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,PEQUENO,4381,0.9,Sudeste,61.2,MÉDIO,4.2,1,0.1,4,765.0,1,3137304.0,-17.007314,-44.64774,64768,94.0,55.4,15.9,10,339,71.7,0.594,0.457,36,112,85.9,17,Secretaria Municipal de Saúde,53.6,62.6,59.4,0.0,67.5,68.7,55.8,ALTO,5,0.86,1.71,2.52,2.62,1.71,248.2,46.7,29.2,11.0,28.9,47.9,297.5,24.8,0.0572,0.0401,0.2842,4.27,75.57,38.51,58.25,48.13,97.8,80.6,88.3,True,1,Geral:72%,75.57,,,,3137304.0,0.0,0,0.0,v40+v37+v3,56.99,2870.0,1089.0,MODERADO
MG,Lajinha,17842,1.65,0.0,82.1,6.9,12.7,31.2,23.0,-12.0,-2.0,Sudeste,MODERADO,0.707,1.0,CAPS,Municipal,0.0,0,0,0.0,SIM,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,PEQUENO,13381,0.0,Sudeste,59.5,MÉDIO,4.0,0,0.4,4,757.2,3,3137700.0,-20.143364,-41.588087,64108,93.0,54.8,16.1,29,342,71.5,0.601,0.459,312,112,84.6,53,Secretaria Municipal de Saúde,58.8,65.8,58.8,44.0,63.0,67.3,44.5,MÉDIO,16,0.9,1.68,2.52,2.62,1.63,244.7,45.9,28.7,10.9,28.6,46.6,301.0,23.9,0.0584,0.0404,0.2869,4.24,82.54,39.38,44.87,45.73,79.9,68.3,78.0,True,3,Sarampo:80% | Geral:72%,72.54,,,,3137700.0,0.0,0,0.0,v40+v37+v3,54.93,2225.0,811.0,ALTO
MG,Lambari,0,,,,,,,,,,,P3,,0.0,Dado não disponível,,0.0,0,0,0.0,NÃO INFORMADO,0,0,,0,0.0,0.0,0.0,DADO_PENDENTE,False,INDEFINIDO,0,80.0,Sudeste,50.0,ALTO,5.5,4,0.0,2,,0,313780.0,-22.0009,-45.3777,62370,86.2,50.8,17.4,0,369,69.9,0.648,0.477,0,148,93.8,0,Secretaria Municipal de Saúde,42.3,45.5,11.1,30.0,73.4,54.7,50.0,ALTO,43,0.0,0.0,3.6,3.5,0.0,231.5,42.6,26.9,10.4,27.6,38.4,226.6,33.1,0.059,0.0405,0.2881,3.82,60.6,39.29,73.27,73.72,80.8,66.4,76.5,False,0,OK,60.6,,,50.0,313780.0,0.0,0,0.0,v40+v37+v3,,,,
MG,Lamim,4842,1.28,0.0,77.6,7.0,12.5,43.2,5.0,-5.0,-1.0,Sudeste,MODERADO,0.737,0.0,Nenhum,,0.0,0,0,0.0,NÃO,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,MICRO,3631,2.4,Sudeste,50.1,ALTO,4.6,2,0.1,3,612.9,1,3137908.0,-20.780092,-43.47612,65428,84.9,37.3,22.1,10,397,69.9,0.672,0.424,34,98,88.0,13,Secretaria Municipal de Saúde,46.8,62.0,45.0,0.0,79.3,48.3,31.4,ALTO,3,0.62,2.07,1.8,1.93,2.07,251.7,47.6,29.7,11.1,29.2,50.5,227.7,44.7,0.056,0.0398,0.2816,4.51,78.68,50.45,62.64,51.74,120.0,65.0,75.2,True,2,Geral:70%,78.68,,,,3137908.0,0.0,0,0.0,v40+v37+v3,62.77,4734.0,1561.0,BAIXO
MG,Laranjal,8842,1.35,0.0,79.7,6.9,11.7,35.7,9.0,-8.0,-1.0,Sudeste,MODERADO,0.716,0.0,Nenhum,,0.0,0,0,0.0,NÃO,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,PEQUENO,6631,0.3,Sudeste,54.4,ALTO,4.4,2,0.2,3,761.9,2,3138005.0,-21.355533,-42.450572,64504,93.6,55.2,16.0,15,340,71.6,0.597,0.458,58,112,89.9,26,Secretaria Municipal de Saúde,53.0,63.2,59.9,0.0,69.8,68.2,44.9,ALTO,8,0.9,2.26,2.52,2.62,1.7,246.8,46.4,29.0,10.9,28.8,47.2,300.1,24.4,0.0577,0.0402,0.2853,4.26,74.12,38.95,54.89,48.94,83.6,75.1,83.7,True,2,Sarampo:84% | Geral:72%,74.12,,,,3138005.0,0.0,0,0.0,v40+v37+v3,55.78,2462.0,903.0,ALTO
MG,Lassance,8842,1.51,0.0,81.2,6.8,10.9,35.2,10.0,-7.0,-1.0,Sudeste,MODERADO,0.758,1.0,CAPS,Municipal,0.0,0,0,0.0,SIM,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,PEQUENO,6631,0.0,Sudeste,63.9,MÉDIO,3.0,0,0.2,5,783.7,2,3138104.0,-17.88069,-44.695745,66352,96.3,56.7,15.5,15,331,72.2,0.58,0.451,77,112,86.3,26,Secretaria Municipal de Saúde,70.0,67.1,64.6,88.7,75.8,72.1,47.8,MÉDIO,8,0.9,2.26,2.52,2.62,1.7,256.5,48.8,30.4,11.3,29.6,50.6,300.1,26.8,0.0544,0.0395,0.2779,4.42,83.22,37.9,40.55,34.5,97.1,81.3,88.9,True,1,Geral:72%,83.22,,,,3138104.0,0.0,0,0.0,v40+v37+v3,51.78,1344.0,412.0,CRÍTICO
MG,Lavras,101842,2.46,0.347,69.0,6.2,12.3,39.2,195.0,-3.0,0.0,Sudeste,ADEQUADO,0.707,2.0,"CAPS II,CAPSad",Municipal,0.0,0,0,0.0,SIM,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,GRANDE,76381,11.0,Sudeste,60.6,MÉDIO,5.0,0,2.3,5,1436.0,15,3138203.0,-21.264778,-45.038433,73724,99.9,95.0,5.8,92,198,77.6,0.412,0.539,1139,180,96.1,463,Secretaria Municipal de Saúde,59.0,44.0,72.1,15.4,60.4,91.7,84.0,MÉDIO,246,2.42,1.47,5.76,5.6,0.9,244.7,45.9,28.7,10.9,28.6,71.9,249.7,55.0,0.0584,0.0404,0.2869,5.5,82.54,61.29,30.9,45.58,68.8,78.3,86.3,True,3,Sarampo:69% | Geral:78%,72.54,,,,3138203.0,0.0,0,0.0,v40+v37+v3,56.19,2591.0,960.0,ALTO
MG,Leandro Ferreira,5842,1.27,0.0,81.5,6.2,10.1,42.7,6.0,-6.0,-1.0,Sudeste,MODERADO,0.749,0.0,Nenhum,,0.0,0,0,0.0,NÃO,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,PEQUENO,4381,0.0,Sudeste,63.2,MÉDIO,3.1,2,0.1,3,779.0,1,3138302.0,-19.680344,-45.0398,65956,95.7,56.4,15.6,10,333,72.1,0.584,0.453,32,112,89.2,17,Secretaria Municipal de Saúde,56.9,67.6,62.2,0.0,76.4,71.3,53.8,MÉDIO,5,0.86,1.71,2.52,2.62,1.71,254.4,48.3,30.1,11.2,29.4,49.9,296.6,26.3,0.0551,0.0396,0.2795,4.36,81.17,37.65,57.89,42.87,120.0,91.4,97.2,True,1,Geral:72%,81.17,,,,3138302.0,0.0,0,0.0,v40+v37+v3,57.56,3096.0,1189.0,MODERADO
MG,Leme do Prado,5842,1.39,0.0,80.9,6.2,12.5,46.7,6.0,-5.0,-1.0,Sudeste,MODERADO,0.758,0.0,Nenhum,,0.0,0,0,0.0,NÃO,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,PEQUENO,4381,0.0,Sudeste,59.2,MÉDIO,3.8,2,0.1,3,783.7,1,3138351.0,-17.06919,-42.743855,66352,96.3,56.7,15.5,10,331,72.2,0.58,0.451,48,112,84.5,17,Secretaria Municipal de Saúde,54.0,66.8,49.8,0.0,74.2,72.1,54.2,ALTO,5,0.86,1.71,2.52,2.62,1.71,256.5,48.8,30.4,11.3,29.6,51.2,300.1,27.1,0.0544,0.0395,0.2779,4.44,83.22,38.3,57.8,44.37,120.0,66.3,76.4,True,1,Geral:72%,83.22,,,,3138351.0,0.0,0,0.0,v40+v37+v3,58.54,3465.0,1311.0,MODERADO
MG,Leopoldina,51842,2.2,0.31,74.7,6.7,12.1,32.7,89.0,-12.0,0.0,Sudeste,ADEQUADO,0.713,1.0,CAPS,Municipal,0.0,0,0,0.0,SIM,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,MÉDIO,38881,5.3,Sudeste,61.5,MÉDIO,4.5,0,1.5,5,1074.9,8,3138401.0,-21.549263,-42.642843,67591,99.9,85.2,8.3,58,233,75.7,0.47,0.498,497,150,93.4,200,Secretaria Municipal de Saúde,61.2,54.0,73.3,15.1,65.2,91.2,73.1,MÉDIO,74,1.43,1.54,3.96,3.85,1.12,246.1,46.2,28.9,10.9,28.8,59.8,285.0,40.9,0.058,0.0403,0.2858,5.01,83.67,57.68,30.35,43.22,75.4,76.2,84.6,True,3,Sarampo:75% | Geral:76%,73.67,,,,3138401.0,0.0,0,0.0,v40+v37+v3,55.11,2271.0,836.0,ALTO
MG,Liberdade,8842,1.51,0.0,77.6,5.7,10.9,40.7,10.0,-7.0,-1.0,Sudeste,MODERADO,0.704,1.0,CAPS,Municipal,0.0,0,0,0.0,SIM,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,PEQUENO,6631,2.4,Sudeste,63.1,MÉDIO,3.6,0,0.1,5,755.6,1,3138500.0,-22.015636,-44.332651,63976,92.8,54.7,16.1,15,343,71.4,0.602,0.459,40,112,86.4,26,Secretaria Municipal de Saúde,65.3,59.1,59.2,88.7,64.1,67.0,57.1,MÉDIO,8,0.9,1.13,2.52,2.62,1.7,244.0,45.7,28.6,10.8,28.6,46.3,300.1,23.7,0.0587,0.0404,0.2874,4.22,71.61,39.26,47.27,40.81,84.8,61.5,72.3,True,2,Sarampo:85% | Geral:71%,71.61,,,,3138500.0,0.0,0,0.0,v40+v37+v3,51.6,1298.0,383.0,CRÍTICO
MG,Lima Duarte,16842,1.77,0.0,81.5,5.8,11.1,43.7,23.0,-10.0,-2.0,Sudeste,MODERADO,0.734,1.0,CAPS,Municipal,0.0,0,0,0.0,SIM,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,PEQUENO,12631,0.0,Sudeste,69.6,MÉDIO,3.0,0,0.2,5,771.2,3,3138609.0,-21.799838,-43.886291,65296,94.7,55.8,15.8,28,336,71.9,0.59,0.455,193,112,89.9,50,Secretaria Municipal de Saúde,62.3,66.3,57.1,46.6,73.8,69.8,57.4,MÉDIO,15,0.89,1.78,2.52,2.62,1.66,251.0,47.4,29.6,11.1,29.1,50.1,308.0,26.2,0.0563,0.0399,0.2821,4.45,88.07,40.65,43.88,40.32,72.5,75.1,83.7,True,3,Sarampo:72% | Geral:72%,78.07,,,,3138609.0,0.0,0,0.0,v40+v37+v3,55.8,2472.0,908.0,ALTO
MG,Limeira do Oeste,9842,1.54,0.0,77.6,7.3,11.5,30.2,12.0,-7.0,-1.0,Sudeste,MODERADO,0.758,0.0,Nenhum,,0.0,0,0,0.0,NÃO,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,PEQUENO,7381,2.4,Sudeste,55.8,MÉDIO,4.2,1,0.3,4,783.7,2,3138625.0,-19.407004,-50.647556,66352,96.3,56.7,15.5,16,331,72.2,0.58,0.451,97,112,88.6,29,Secretaria Municipal de Saúde,54.8,59.7,65.7,0.0,78.0,72.1,42.5,ALTO,9,0.91,2.03,2.52,2.62,1.63,256.5,48.8,30.4,11.3,29.6,51.8,308.1,27.5,0.0544,0.0395,0.2779,4.53,83.22,39.95,56.02,43.76,84.3,64.3,74.7,True,2,Sarampo:84% | Geral:72%,83.22,,,,3138625.0,0.0,0,0.0,v40+v37+v3,58.33,3376.0,1294.0,MODERADO
MG,Lontra,10842,1.85,0.0,78.5,6.4,12.7,30.2,16.0,-5.0,-1.0,Sudeste,MODERADO,0.755,1.0,CAPS,Municipal,0.0,0,0,0.0,SIM,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,PEQUENO,8131,1.5,Sudeste,64.0,MÉDIO,3.7,0,0.2,5,782.1,2,3138658.0,-15.857414,-44.268199,66220,96.1,56.6,15.6,18,331,72.2,0.581,0.452,115,112,80.3,32,Secretaria Municipal de Saúde,64.9,61.9,60.8,72.3,69.5,71.8,51.9,MÉDIO,10,0.92,1.84,2.52,2.62,1.66,255.8,48.6,30.3,11.3,29.5,52.5,314.3,27.8,0.0546,0.0395,0.2784,4.61,82.61,41.54,42.82,36.44,101.0,77.1,85.4,True,1,Geral:72%,82.61,,,,3138658.0,0.0,0,0.0,v40+v37+v3,53.48,1811.0,679.0,ALTO
MG,Luisburgo,7842,1.37,0.0,81.5,5.9,12.1,41.7,8.0,-7.0,-1.0,Sudeste,MODERADO,0.701,1.0,CAPS I,Municipal,0.0,0,0,0.0,SIM,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,PEQUENO,5881,0.0,Sudeste,61.2,MÉDIO,3.7,1,0.1,4,754.1,1,3138674.0,-20.436323,-42.07433,63844,92.6,54.6,16.2,13,344,71.4,0.603,0.46,108,112,86.7,23,Secretaria Municipal de Saúde,67.0,65.1,53.5,100.0,63.6,66.7,54.9,MÉDIO,7,0.89,1.28,2.52,2.62,1.66,243.3,45.5,28.5,10.8,28.5,47.6,309.8,24.3,0.0589,0.0405,0.2879,4.34,71.0,41.73,46.98,39.86,102.7,71.0,80.3,True,1,Geral:71%,71.0,,,,3138674.0,0.0,0,0.0,v40+v37+v3,51.81,1351.0,414.0,CRÍTICO
MG,Luislândia,9842,1.49,0.0,77.6,6.6,10.5,31.2,11.0,-8.0,-1.0,Sudeste,MODERADO,0.758,0.0,Nenhum,,0.0,0,0,0.0,NÃO,0,0,,0,0.0,0.0,0.0,SEM_LEITO,False,PEQUENO,7381,2.4,Sudeste,60.9,MÉDIO,3.7,2,0.2,3,783.7,2,3138682.0,-16.195849,-44.596258,66352,96.3,56.7,15.5,16,331,72.2,0.58,0.451,77,112,83.2,29,Secretaria Municipal de Saúde,55.5,59.7,69.1,0.0,73.0,72.1,49.9,MÉDIO,9,0.91,2.03,2.52,2.62,1.63,256.5,48.8,30.4,11.3,29.6,52.3,310.7,27.7,0.0544,0.0395,0.2779,4.57,83.22,40.61,56.02,43.23,102.9,60.9,71.8,True,1,Geral:72%,83.22,,,,3138682.0,0.0,0,0.0,v40+v37+v3,58.41,3410.0,1299.0,MODERADO
